Estructura,Metodo,N,Run,TiempoPromedio_ns
SinglyNoTail,pushFront,10,0,31.1111
SinglyNoTail,pushFront,10,1,34.4444
SinglyNoTail,pushFront,10,2,45.5556
SinglyNoTail,pushFront,10,3,48.3333
SinglyNoTail,pushFront,10,4,36.6667
SinglyNoTail,pushFront,10,5,33.3333
SinglyNoTail,pushFront,10,6,33.3333
SinglyNoTail,pushFront,100,0,45.1111
SinglyNoTail,pushFront,100,1,34.1667
SinglyNoTail,pushFront,100,2,33.2222
SinglyNoTail,pushFront,100,3,35.6667
SinglyNoTail,pushFront,100,4,29.1111
SinglyNoTail,pushFront,100,5,30.1667
SinglyNoTail,pushFront,100,6,32.2778
SinglyNoTail,pushFront,1000,0,32.8400
SinglyNoTail,pushFront,1000,1,40.0200
SinglyNoTail,pushFront,1000,2,33.2600
SinglyNoTail,pushFront,1000,3,35.6600
SinglyNoTail,pushFront,1000,4,49.6400
SinglyNoTail,pushFront,1000,5,33.3000
SinglyNoTail,pushFront,1000,6,40.6400
SinglyNoTail,pushFront,10000,0,35.8480
SinglyNoTail,pushFront,10000,1,32.5020
SinglyNoTail,pushFront,10000,2,42.7300
SinglyNoTail,pushFront,10000,3,14.2900
SinglyNoTail,pushFront,10000,4,12.9840
SinglyNoTail,pushFront,10000,5,13.3540
SinglyNoTail,pushFront,10000,6,15.2220
SinglyNoTail,pushFront,100000,0,8.7422
SinglyNoTail,pushFront,100000,1,11.3242
SinglyNoTail,pushFront,100000,2,11.7776
SinglyNoTail,pushFront,100000,3,11.3754
SinglyNoTail,pushFront,100000,4,11.4214
SinglyNoTail,pushFront,100000,5,11.6334
SinglyNoTail,pushFront,100000,6,11.4540
SinglyNoTail,pushFront,1000000,0,8.7007
SinglyNoTail,pushFront,1000000,1,14.1258
SinglyNoTail,pushFront,1000000,2,15.4544
SinglyNoTail,pushFront,1000000,3,16.2085
SinglyNoTail,pushFront,1000000,4,11.6784
SinglyNoTail,pushFront,1000000,5,9.9555
SinglyNoTail,pushFront,1000000,6,8.6919
DoublyNoTail,pushFront,10,0,13.8889
DoublyNoTail,pushFront,10,1,13.8889
DoublyNoTail,pushFront,10,2,11.6667
DoublyNoTail,pushFront,10,3,10.5556
DoublyNoTail,pushFront,10,4,10.5556
DoublyNoTail,pushFront,10,5,10.5556
DoublyNoTail,pushFront,10,6,10.0000
DoublyNoTail,pushFront,100,0,12.5556
DoublyNoTail,pushFront,100,1,12.9444
DoublyNoTail,pushFront,100,2,9.7222
DoublyNoTail,pushFront,100,3,10.5000
DoublyNoTail,pushFront,100,4,9.8333
DoublyNoTail,pushFront,100,5,13.1111
DoublyNoTail,pushFront,100,6,12.0556
DoublyNoTail,pushFront,1000,0,10.2400
