Estructura,Metodo,N,Run,Tiempo_ns
SinglyWithTail,PushBack,10,0,174.0
SinglyWithTail,PushBack,10,1,148.0
SinglyWithTail,PushBack,10,2,390.0
SinglyWithTail,PushBack,100,0,138.0
SinglyWithTail,PushBack,100,1,162.0
SinglyWithTail,PushBack,100,2,414.0
SinglyWithTail,PushBack,1000,0,40.0
SinglyWithTail,PushBack,1000,1,114.0
SinglyWithTail,PushBack,1000,2,64.0
SinglyWithTail,PushBack,10000,0,46.0
SinglyWithTail,PushBack,10000,1,60.0
SinglyWithTail,PushBack,10000,2,48.0
SinglyWithTail,PushBack,100000,0,36.0
SinglyWithTail,PushBack,100000,1,102.0
SinglyWithTail,PushBack,100000,2,30.0
SinglyWithTail,PushBack,1000000,0,684.0
SinglyWithTail,PushBack,1000000,1,32.0
SinglyWithTail,PushBack,1000000,2,28.0
SinglyWithTail,PushBack,10000000,0,68.0
SinglyWithTail,PushBack,10000000,1,48.0
SinglyWithTail,PushBack,10000000,2,60.0
SinglyWithTail,PushBack,100000000,0,68.0
SinglyWithTail,PushBack,100000000,1,72.0
SinglyWithTail,PushBack,100000000,2,58.0
SinglyWithTail,PushFront,10,0,106.0
SinglyWithTail,PushFront,10,1,62.0
SinglyWithTail,PushFront,10,2,56.0
SinglyWithTail,PushFront,100,0,55.0
SinglyWithTail,PushFront,100,1,69.0
SinglyWithTail,PushFront,100,2,248.0
SinglyWithTail,PushFront,1000,0,46.0
SinglyWithTail,PushFront,1000,1,38.0
SinglyWithTail,PushFront,1000,2,48.0
SinglyWithTail,PushFront,10000,0,42.0
SinglyWithTail,PushFront,10000,1,54.0
SinglyWithTail,PushFront,10000,2,24.0
SinglyWithTail,PushFront,100000,0,38.0
SinglyWithTail,PushFront,100000,1,64.0
SinglyWithTail,PushFront,100000,2,78.0
SinglyWithTail,PushFront,1000000,0,70.0
SinglyWithTail,PushFront,1000000,1,732.0
SinglyWithTail,PushFront,1000000,2,16.0
SinglyWithTail,PushFront,10000000,0,58.0
SinglyWithTail,PushFront,10000000,1,38.0
SinglyWithTail,PushFront,10000000,2,32.0
SinglyWithTail,PushFront,100000000,0,36.0
SinglyWithTail,PushFront,100000000,1,38.0
SinglyWithTail,PushFront,100000000,2,48.0
SinglyWithTail,PopFront,10,0,128.0
SinglyWithTail,PopFront,10,1,96.0
SinglyWithTail,PopFront,10,2,90.0
SinglyWithTail,PopFront,100,0,124.0
SinglyWithTail,PopFront,100,1,112.0
SinglyWithTail,PopFront,100,2,132.0
SinglyWithTail,PopFront,1000,0,122.0
SinglyWithTail,PopFront,1000,1,54.0
SinglyWithTail,PopFront,1000,2,50.0
SinglyWithTail,PopFront,10000,0,80.0
SinglyWithTail,PopFront,10000,1,28.0
SinglyWithTail,PopFront,10000,2,12.0
SinglyWithTail,PopFront,100000,0,20.0
SinglyWithTail,PopFront,100000,1,22.0
SinglyWithTail,PopFront,100000,2,36.0
SinglyWithTail,PopFront,1000000,0,148.0
SinglyWithTail,PopFront,1000000,1,208.0
SinglyWithTail,PopFront,1000000,2,32.0
SinglyWithTail,PopFront,10000000,0,50.0
SinglyWithTail,PopFront,10000000,1,48.0
SinglyWithTail,PopFront,10000000,2,62.0
SinglyWithTail,PopFront,100000000,0,113.0
SinglyWithTail,PopFront,100000000,1,72.0
SinglyWithTail,PopFront,100000000,2,112.0
SinglyWithTail,PopBack,10,0,112.0
SinglyWithTail,PopBack,10,1,80.0
