Estructura,Metodo,N,Run,Tiempo_ns
SinglyNoTail,PushFront,10,0,200.0
SinglyNoTail,PushFront,10,1,166.33333333333334
SinglyNoTail,PushFront,10,2,211.0
SinglyNoTail,PushFront,10,3,177.33333333333334
SinglyNoTail,PushFront,10,4,1900.0
SinglyNoTail,PushFront,100,0,277.6666666666667
SinglyNoTail,PushFront,100,1,244.0
SinglyNoTail,PushFront,100,2,233.0
SinglyNoTail,PushFront,100,3,211.0
SinglyNoTail,PushFront,100,4,244.33333333333334
SinglyNoTail,PushFront,1000,0,122.0
SinglyNoTail,PushFront,1000,1,99.66666666666667
SinglyNoTail,PushFront,1000,2,111.0
SinglyNoTail,PushFront,1000,3,99.66666666666667
SinglyNoTail,PushFront,1000,4,111.0
SinglyNoTail,PushFront,10000,0,155.33333333333334
SinglyNoTail,PushFront,10000,1,110.66666666666667
SinglyNoTail,PushFront,10000,2,110.66666666666667
SinglyNoTail,PushFront,10000,3,111.0
SinglyNoTail,PushFront,10000,4,366.3333333333333
SinglyNoTail,PushFront,100000,0,66.33333333333333
SinglyNoTail,PushFront,100000,1,22.0
SinglyNoTail,PushFront,100000,2,33.0
SinglyNoTail,PushFront,100000,3,55.0
SinglyNoTail,PushFront,100000,4,44.0
SinglyNoTail,PushFront,1000000,0,166.33333333333334
SinglyNoTail,PushFront,1000000,1,1822.0
SinglyNoTail,PushFront,1000000,2,88.66666666666667
SinglyNoTail,PushFront,1000000,3,121.66666666666667
SinglyNoTail,PushFront,1000000,4,144.33333333333334
SinglyNoTail,PushFront,10000000,0,99.66666666666667
SinglyNoTail,PushFront,10000000,1,99.66666666666667
SinglyNoTail,PushFront,10000000,2,133.0
SinglyNoTail,PushFront,10000000,3,99.66666666666667
SinglyNoTail,PushFront,10000000,4,155.33333333333334
SinglyNoTail,PushFront,100000000,0,155.6666666666667
SinglyNoTail,PushFront,100000000,1,169.6666666666666
SinglyNoTail,PushFront,100000000,2,191.6666666666667
SinglyNoTail,PushFront,100000000,3,172.3333333333334
SinglyNoTail,PushFront,100000000,4,154.6666666666666
MyStack,Push,10,0,177.33333333333334
MyStack,Push,10,1,133.33333333333334
MyStack,Push,10,2,133.0
MyStack,Push,10,3,122.0
MyStack,Push,10,4,122.0
MyStack,Push,100,0,155.33333333333334
MyStack,Push,100,1,166.33333333333334
MyStack,Push,100,2,133.33333333333334
MyStack,Push,100,3,133.0
MyStack,Push,100,4,133.33333333333334
MyStack,Push,1000,0,155.33333333333334
MyStack,Push,1000,1,144.33333333333334
MyStack,Push,1000,2,166.33333333333334
MyStack,Push,1000,3,144.33333333333334
MyStack,Push,1000,4,155.33333333333334
MyStack,Push,10000,0,155.33333333333334
MyStack,Push,10000,1,166.33333333333334
MyStack,Push,10000,2,133.33333333333334
MyStack,Push,10000,3,155.33333333333334
MyStack,Push,10000,4,155.33333333333334
MyStack,Push,100000,0,125.0
MyStack,Push,100000,1,134.6666666666667
MyStack,Push,100000,2,177.0
MyStack,Push,100000,3,66.33333333333333
MyStack,Push,100000,4,33.333333333333336
MyStack,Push,1000000,0,88.66666666666667
MyStack,Push,1000000,1,77.33333333333333
MyStack,Push,1000000,2,77.33333333333333
MyStack,Push,1000000,3,66.33333333333333
MyStack,Push,1000000,4,55.333333333333336
MyStack,Push,10000000,0,66.33333333333333
MyStack,Push,10000000,1,44.333333333333336
MyStack,Push,10000000,2,77.33333333333333
MyStack,Push,10000000,3,22.0
MyStack,Push,10000000,4,22.0
MyStack,Push,100000000,0,77.33333333333333
MyStack,Push,100000000,1,66.33333333333333
MyStack,Push,100000000,2,88.33333333333333
MyStack,Push,100000000,3,66.33333333333333
MyStack,Push,100000000,4,66.33333333333333
