Estructura,Metodo,N,Run,Tiempo_ns
SinglyNoTail,PopFront,10,0,88.33333333333333
SinglyNoTail,PopFront,10,1,66.0
SinglyNoTail,PopFront,10,2,77.33333333333333
SinglyNoTail,PopFront,10,3,77.33333333333333
SinglyNoTail,PopFront,10,4,1566.3333333333333
SinglyNoTail,PopFront,100,0,88.66666666666667
SinglyNoTail,PopFront,100,1,111.0
SinglyNoTail,PopFront,100,2,99.66666666666667
SinglyNoTail,PopFront,100,3,66.0
SinglyNoTail,PopFront,100,4,88.66666666666667
SinglyNoTail,PopFront,1000,0,100.0
SinglyNoTail,PopFront,1000,1,133.0
SinglyNoTail,PopFront,1000,2,111.0
SinglyNoTail,PopFront,1000,3,133.0
SinglyNoTail,PopFront,1000,4,133.0
SinglyNoTail,PopFront,10000,0,177.33333333333334
SinglyNoTail,PopFront,10000,1,121.66666666666667
SinglyNoTail,PopFront,10000,2,99.33333333333333
SinglyNoTail,PopFront,10000,3,122.0
SinglyNoTail,PopFront,10000,4,399.6666666666667
SinglyNoTail,PopFront,100000,0,33.0
SinglyNoTail,PopFront,100000,1,55.333333333333336
SinglyNoTail,PopFront,100000,2,55.333333333333336
SinglyNoTail,PopFront,100000,3,33.333333333333336
SinglyNoTail,PopFront,100000,4,44.0
SinglyNoTail,PopFront,1000000,0,2555.0
SinglyNoTail,PopFront,1000000,1,55.333333333333336
SinglyNoTail,PopFront,1000000,2,2122.0
SinglyNoTail,PopFront,1000000,3,100.0
SinglyNoTail,PopFront,1000000,4,177.33333333333334
SinglyNoTail,PopFront,10000000,0,133.0
SinglyNoTail,PopFront,10000000,1,166.33333333333334
SinglyNoTail,PopFront,10000000,2,121.66666666666667
SinglyNoTail,PopFront,10000000,3,110.66666666666667
SinglyNoTail,PopFront,10000000,4,121.66666666666667
SinglyNoTail,PopFront,100000000,0,88.6666666666666
SinglyNoTail,PopFront,100000000,1,111.0
SinglyNoTail,PopFront,100000000,2,144.0
SinglyNoTail,PopFront,100000000,3,322.0
SinglyNoTail,PopFront,100000000,4,188.6666666666666
MyStack,Pop,10,0,111.0
MyStack,Pop,10,1,122.0
MyStack,Pop,10,2,100.0
MyStack,Pop,10,3,100.0
MyStack,Pop,10,4,100.0
MyStack,Pop,100,0,144.0
MyStack,Pop,100,1,133.0
MyStack,Pop,100,2,122.0
MyStack,Pop,100,3,144.0
MyStack,Pop,100,4,122.0
MyStack,Pop,1000,0,122.0
MyStack,Pop,1000,1,111.0
MyStack,Pop,1000,2,111.0
MyStack,Pop,1000,3,111.0
MyStack,Pop,1000,4,111.0
MyStack,Pop,10000,0,155.33333333333334
MyStack,Pop,10000,1,122.0
MyStack,Pop,10000,2,144.0
MyStack,Pop,10000,3,133.33333333333334
MyStack,Pop,10000,4,122.0
MyStack,Pop,100000,0,77.66666666666667
MyStack,Pop,100000,1,799.6666666666666
MyStack,Pop,100000,2,11.0
MyStack,Pop,100000,3,11.0
MyStack,Pop,100000,4,66.0
MyStack,Pop,1000000,0,77.66666666666667
MyStack,Pop,1000000,1,222.0
MyStack,Pop,1000000,2,99.66666666666667
MyStack,Pop,1000000,3,155.0
MyStack,Pop,1000000,4,100.0
MyStack,Pop,10000000,0,111.0
MyStack,Pop,10000000,1,155.0
MyStack,Pop,10000000,2,133.0
MyStack,Pop,10000000,3,177.33333333333334
MyStack,Pop,10000000,4,100.0
MyStack,Pop,100000000,0,99.6666666666666
MyStack,Pop,100000000,1,299.6666666666666
MyStack,Pop,100000000,2,66.3333333333334
MyStack,Pop,100000000,3,88.6666666666666
MyStack,Pop,100000000,4,110.6666666666666
