Estructura,Metodo,N,Run,Tiempo_ns
DoublyWithTail,PopBack,10,0,111.000
DoublyWithTail,PopBack,10,1,111.000
DoublyWithTail,PopBack,10,2,111.000
DoublyWithTail,PopBack,100,0,133.000
DoublyWithTail,PopBack,100,1,133.000
DoublyWithTail,PopBack,100,2,133.000
DoublyWithTail,PopBack,1000,0,133.000
DoublyWithTail,PopBack,1000,1,133.000
DoublyWithTail,PopBack,1000,2,133.000
DoublyWithTail,PopBack,10000,0,144.300
DoublyWithTail,PopBack,10000,1,144.300
DoublyWithTail,PopBack,10000,2,144.300
DoublyWithTail,PopBack,100000,0,84.000
DoublyWithTail,PopBack,100000,1,84.000
DoublyWithTail,PopBack,100000,2,84.000
DoublyWithTail,PopBack,1000000,0,110.700
DoublyWithTail,PopBack,1000000,1,110.700
DoublyWithTail,PopBack,1000000,2,110.700
DoublyWithTail,PopBack,10000000,0,122.000
DoublyWithTail,PopBack,10000000,1,122.000
DoublyWithTail,PopBack,10000000,2,122.000
DoublyWithTail,PopBack,100000000,0,135.700
DoublyWithTail,PopBack,100000000,1,142.700
DoublyWithTail,PopBack,100000000,2,152.700
MyQueue,Dequeue,10,0,100.000
MyQueue,Dequeue,10,1,112.000
MyQueue,Dequeue,10,2,103.000
MyQueue,Dequeue,100,0,111.000
MyQueue,Dequeue,100,1,109.000
MyQueue,Dequeue,100,2,111.000
MyQueue,Dequeue,1000,0,123.000
MyQueue,Dequeue,1000,1,111.000
MyQueue,Dequeue,1000,2,132.000
MyQueue,Dequeue,10000,0,122.000
MyQueue,Dequeue,10000,1,122.000
MyQueue,Dequeue,10000,2,122.000
MyQueue,Dequeue,100000,0,44.000
MyQueue,Dequeue,100000,1,44.000
MyQueue,Dequeue,100000,2,44.000
MyQueue,Dequeue,1000000,0,88.700
MyQueue,Dequeue,1000000,1,88.700
MyQueue,Dequeue,1000000,2,88.700
MyQueue,Dequeue,10000000,0,122.000
MyQueue,Dequeue,10000000,1,122.000
MyQueue,Dequeue,10000000,2,122.000
MyQueue,Dequeue,100000000,0,133.000
MyQueue,Dequeue,100000000,1,154.000
MyQueue,Dequeue,100000000,2,165.000
