Estructura,Metodo,N,Run,Tiempo_ns
DoublyWithTail,topBack,10,0,77.300
DoublyWithTail,topBack,10,1,77.300
DoublyWithTail,topBack,10,2,77.300
DoublyWithTail,topBack,100,0,88.700
DoublyWithTail,topBack,100,1,88.700
DoublyWithTail,topBack,100,2,88.700
DoublyWithTail,topBack,1000,0,77.300
DoublyWithTail,topBack,1000,1,77.300
DoublyWithTail,topBack,1000,2,77.300
DoublyWithTail,topBack,10000,0,122.000
DoublyWithTail,topBack,10000,1,122.000
DoublyWithTail,topBack,10000,2,122.000
DoublyWithTail,topBack,100000,0,44.000
DoublyWithTail,topBack,100000,1,44.000
DoublyWithTail,topBack,100000,2,44.000
DoublyWithTail,topBack,1000000,0,88.700
DoublyWithTail,topBack,1000000,1,88.700
DoublyWithTail,topBack,1000000,2,88.700
DoublyWithTail,topBack,10000000,0,111.000
DoublyWithTail,topBack,10000000,1,111.000
DoublyWithTail,topBack,10000000,2,111.000
DoublyWithTail,topBack,100000000,0,122.000
DoublyWithTail,topBack,100000000,1,122.000
DoublyWithTail,topBack,100000000,2,122.000
MyStack,peek,10,0,155.300
MyStack,peek,10,1,155.300
MyStack,peek,10,2,155.300
MyStack,peek,100,0,111.000
MyStack,peek,100,1,111.000
MyStack,peek,100,2,111.000
MyStack,peek,1000,0,111.000
MyStack,peek,1000,1,111.000
MyStack,peek,1000,2,111.000
MyStack,peek,10000,0,111.000
MyStack,peek,10000,1,111.000
MyStack,peek,10000,2,111.000
MyStack,peek,100000,0,55.000
MyStack,peek,100000,1,55.000
MyStack,peek,100000,2,55.000
MyStack,peek,1000000,0,66.300
MyStack,peek,1000000,1,66.300
MyStack,peek,1000000,2,66.300
MyStack,peek,10000000,0,110.700
MyStack,peek,10000000,1,110.700
MyStack,peek,10000000,2,110.700
MyStack,peek,100000000,0,87.600
MyStack,peek,100000000,1,87.600
MyStack,peek,100000000,2,87.600
