Estructura,Metodo,N,Run,Tiempo_ns
MyQueue,Delete,10,0,788.700
MyQueue,Delete,10,1,788.700
MyQueue,Delete,10,2,788.700
MyQueue,Delete,100,0,3755.300
MyQueue,Delete,100,1,3755.300
MyQueue,Delete,100,2,3755.300
MyQueue,Delete,1000,0,4910.700
MyQueue,Delete,1000,1,4910.700
MyQueue,Delete,1000,2,4910.700
MyQueue,Delete,10000,0,57666.300
MyQueue,Delete,10000,1,57666.300
MyQueue,Delete,10000,2,57666.300
MyQueue,Delete,100000,0,229733.000
MyQueue,Delete,100000,1,229733.000
MyQueue,Delete,100000,2,229733.000
MyQueue,Delete,1000000,0,1770199.700
MyQueue,Delete,1000000,1,1770199.700
MyQueue,Delete,1000000,2,1770199.700
MyQueue,Delete,10000000,0,19186333.000
MyQueue,Delete,10000000,1,19186333.000
MyQueue,Delete,10000000,2,19186333.000
MyQueue,Delete,100000000,0,185113388.700
MyQueue,Delete,100000000,1,185113388.700
MyQueue,Delete,100000000,2,185113388.700
DoublyWithTail,Erase,10,0,310.700
DoublyWithTail,Erase,10,1,310.700
DoublyWithTail,Erase,10,2,310.700
DoublyWithTail,Erase,100,0,2322.000
DoublyWithTail,Erase,100,1,2322.000
DoublyWithTail,Erase,100,2,2322.000
DoublyWithTail,Erase,1000,0,3266.300
DoublyWithTail,Erase,1000,1,3266.300
DoublyWithTail,Erase,1000,2,3266.300
DoublyWithTail,Erase,10000,0,34922.000
DoublyWithTail,Erase,10000,1,34922.000
DoublyWithTail,Erase,10000,2,34922.000
DoublyWithTail,Erase,100000,0,193411.000
DoublyWithTail,Erase,100000,1,193411.000
DoublyWithTail,Erase,100000,2,193411.000
DoublyWithTail,Erase,1000000,0,2258333.000
DoublyWithTail,Erase,1000000,1,2258333.000
DoublyWithTail,Erase,1000000,2,2258333.000
DoublyWithTail,Erase,10000000,0,47526388.700
DoublyWithTail,Erase,10000000,1,47526388.700
DoublyWithTail,Erase,10000000,2,47526388.700
DoublyWithTail,Erase,100000000,0,454271014.700
DoublyWithTail,Erase,100000000,1,454271014.700
DoublyWithTail,Erase,100000000,2,454271014.700
